Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,10,13,990002.5,9900.025,2.0,7500.0,10123.7,2017-10-13 09:15:00+05:30,100.0,10165.35,2017-10-13 15:20:00+05:30,3296.249999999918,993298.7499999999
2017,10,16,993298.7499999999,9932.9875,2.0,7500.0,10207.4,2017-10-16 09:15:00+05:30,100.0,10229.9,2017-10-16 15:20:00+05:30,1777.5000000000546,995076.2499999999
2017,10,24,995076.2499999999,9950.762499999999,2.0,7500.0,10218.55,2017-10-24 09:15:00+05:30,100.0,10207.1,2017-10-24 15:20:00+05:30,-734.9999999999454,994341.2499999999
2017,10,25,994341.2499999999,9943.412499999999,2.0,7500.0,10321.15,2017-10-25 09:15:00+05:30,100.0,10293.45,2017-10-25 15:20:00+05:30,-1766.2499999999454,992574.9999999999
2017,10,26,992574.9999999999,9925.749999999998,2.0,7500.0,10321.15,2017-10-26 12:59:00+05:30,100.0,10333.4,2017-10-26 15:20:00+05:30,1893.75,994468.7499999999
2017,10,27,994468.7499999999,9944.687499999998,2.0,7500.0,10362.3,2017-10-27 09:15:00+05:30,100.0,10321.7,2017-10-27 15:20:00+05:30,-2876.249999999891,991592.5
2017,10,30,991592.5,9915.925000000001,2.0,7500.0,10353.85,2017-10-30 09:15:00+05:30,100.0,10361.05,2017-10-30 15:20:00+05:30,573.7499999999727,992166.25
2017,11,01,992166.25,9921.6625,2.0,7500.0,10390.35,2017-11-01 09:15:00+05:30,100.0,10440.05,2017-11-01 15:20:00+05:30,3937.5,996103.75
2017,11,03,996103.75,9961.0375,2.0,7500.0,10461.55,2017-11-03 09:15:00+05:30,100.0,10451.8,2017-11-03 15:20:00+05:30,-588.7499999998909,995515.0000000001
2017,11,06,995515.0000000001,9955.150000000001,2.0,7500.0,10479.85,2017-11-06 13:02:00+05:30,100.0,10438.45,2017-11-06 15:20:00+05:30,-2542.4999999999727,992972.5000000001
2017,11,07,992972.5000000001,9929.725000000002,2.0,7500.0,10477.15,2017-11-07 09:15:00+05:30,100.0,10376.4,2017-11-07 13:38:00+05:30,-7556.250000000001,985416.2500000001
2017,11,08,985416.2500000001,9854.162500000002,2.0,7500.0,10378.0,2017-11-08 09:21:00+05:30,100.0,10307.05,2017-11-08 15:20:00+05:30,-5265.000000000055,980151.2500000001
2017,11,09,980151.2500000001,9801.5125,2.0,7500.0,10358.65,2017-11-09 09:15:00+05:30,100.0,10313.35,2017-11-09 15:20:00+05:30,-3371.249999999918,976780.0000000002
2017,11,16,976780.0000000002,9767.800000000003,2.0,7500.0,10162.9,2017-11-16 09:15:00+05:30,100.0,10217.85,2017-11-16 15:20:00+05:30,4136.249999999973,980916.2500000002
2017,11,17,980916.2500000002,9809.162500000002,2.0,7500.0,10324.55,2017-11-17 09:15:00+05:30,100.0,10281.0,2017-11-17 15:20:00+05:30,-3123.7499999999727,977792.5000000002
